Ticker,Company Name
20MICRONS.BO,20 Microns Limited
21STCENMGM.BO,21st Century Management Services Limited
360ONE.BO,360 ONE WAM LIMITED
3BBLACKBIO.BO,3B Blackbio Dx Limited
3IINFOLTD.BO,3i Infotech Limited
3MINDIA.BO,3M India Limited
3PLAND.BO,3P Land Holdings Limited
5PAISA.BO,5Paisa Capital Limited
63MOONS.BO,63 moons technologies limited
A2ZINFRA.BO,A2Z Infra Engineering Limited
AAATECH.BO,AAA Technologies Limited
AADHARHFC.BO,Aadhar Housing Finance Limited
AAKASH.BO,Aakash Exploration Services Limited
AAREYDRUGS.BO,Aarey Drugs & Pharmaceuticals Limited
AARNAV.BO,Aarnav Fashions Limited
AARON.BO,Aaron Industries Limited
AARTECH.BO,Aartech Solonics Limited
AARTIDRUGS.BO,Aarti Drugs Limited
AARTIIND.BO,Aarti Industries Limited
AARTIPHARM.BO,Aarti Pharmalabs Limited
AARTISURF.BO,Aarti Surfactants Limited
AARVI.BO,Aarvi Encon Limited
AAVAS.BO,Aavas Financiers Limited
ABAN.BO,Aban Offshore Limited
ABANSENT.BO,Abans Enterprises Limited
ABB.BO,ABB India Limited
ABBOTINDIA.BO,Abbott India Limited
ABCAPITAL.BO,Aditya Birla Capital Limited
ABCOTS.BO,A B Cotspin India Limited
ABDL.BO,Allied Blenders and Distillers Limited
ABFRL.BO,Aditya Birla Fashion and Retail Limited
ABINFRA.BO,A B Infrabuild Limited
ABLBL.BO,Aditya Birla Lifestyle Brands Limited
ABMINTLLTD.BO,ABM International Limited
ABMKNO.BO,ABM Knowledgeware Limited
ABREL.BO,Aditya Birla Real Estate Limited
ABSLAMC.BO,Aditya Birla Sun Life AMC Limited
ACC.BO,ACC Limited
ACCELYA.BO,Accelya Solutions India Limited
ACCURACY.BO,Accuracy Shipping Limited
ACE.BO,Action Construction Equipment Limited
ACEINTEG.BO,Ace Integrated Solutions Limited
ACI.BO,Archean Chemical Industries Limited
ACL.BO,Andhra Cements Limited
ACMESOLAR.BO,Acme Solar Holdings Limited
ACSTECH.BO,ACS Technologies Limited
ACUTAAS.BO,Acutaas Chemicals Limited
ADANIENSOL.BO,Adani Energy Solutions Limited
ADANIENT.BO,Adani Enterprises Limited
ADANIGREEN.BO,Adani Green Energy Limited
ADANIPORTS.BO,Adani Ports and Special Economic Zone Limited
ADANIPOWER.BO,Adani Power Limited
ADFFOODS.BO,ADF Foods Limited
ADL.BO,Archidply Decor Limited
ADOR.BO,Ador Welding Limited
ADROITINFO.BO,Adroit Infotech Limited
ADSL.BO,Allied Digital Services Limited
ADVAIT.BO,Advait Energy Transitions Limited
ADVANCE.BO,Advance Agrolife Limited
ADVANIHOTR.BO,Advani Hotels & Resorts (India) Limited
ADVENTHTL.BO,Advent Hotels International Limited
ADVENZYMES.BO,Advanced Enzyme Technologies Limited
AEGISLOG.BO,Aegis Logistics Limited
AEGISVOPAK.BO,Aegis Vopak Terminals Limited
AEPL.BO,Artemis Electricals and Projects Limited
AEQUS.BO,Aequs Limited
AEROENTER.BO,Aeroflex Enterprises Limited
AEROFLEX.BO,Aeroflex Industries Limited
AERONEU.BO,Aeroflex Neu Limited
AETHER.BO,Aether Industries Limited
AFCONS.BO,Afcons Infrastructure Limited
AFFLE.BO,Affle 3i Limited
AFFORDABLE.BO,Affordable Robotic & Automation Limited
AFIL.BO,Akme Fintrade (India) Limited
AFSL.BO,Abans Financial Services Limited
AGARIND.BO,Agarwal Industrial Corporation Limited
AGARWALEYE.BO,Dr. Agarwal's Health Care Limited
AGI.BO,AGI Greenpac Limited
AGIIL.BO,Agi Infra Limited
AGRITECH.BO,Agri-Tech (India) Limited
AGROPHOS.BO,Agro Phos India Limited
AHCL.BO,Anlon Healthcare Limited
AHLADA.BO,Ahlada Engineers Limited
AHLEAST.BO,Asian Hotels (East) Limited
AHLUCONT.BO,Ahluwalia Contracts (India) Limited
AHLWEST.BO,Asian Hotels (West) Limited
AIAENG.BO,AIA Engineering Limited
AIIL.BO,Authum Investment & Infrastructure Limited
AIRAN.BO,Airan Limited
AIROLAM.BO,Airo Lam limited
AJANTPHARM.BO,Ajanta Pharma Limited
AJAXENGG.BO,Ajax Engineering Limited
AJMERA.BO,Ajmera Realty & Infra India Limited
AJOONI.BO,Ajooni Biotech Limited
AKASH.BO,Akash Infra-Projects Limited
AKCAPIT.BO,AK Capital Services Limited
AKG.BO,Akg Exim Limited
AKI.BO,AKI India Limited
AKSHAR.BO,Akshar Spintex Limited
AKSHARCHEM.BO,AksharChem India Limited
AKSHOPTFBR.BO,Aksh Optifibre Limited
AKUMS.BO,Akums Drugs and Pharmaceuticals Limited
ALANKIT.BO,Alankit Limited
